required_skills,candidate_skills,expected_gap
"Go, B2B Sales, Marketing Analytics, SEM, Linux, Kubernetes","Adaptability, Diagnosis, Digital Marketing, Go, Kubernetes, Linux, Marketing Analytics, PHP, SEM, Teamwork",B2B Sales
"Patient Examination, Creativity, B2C Sales, Java, Deep Learning, Arbitration, Accounting","Accounting, Arbitration, B2C Sales, Communication, Creativity, Deep Learning, HR, Java, Kotlin, Patient Examination",
"Certified Public Accountant, Node.js, Agile, CRM, IFRS, Critical Thinking","Agile, CRM, Certified Public Accountant, Contract Drafting, Node.js","IFRS, Critical Thinking"
"Internal Medicine, GAAP, NLP, Chartered Accountant, Audit, Digital Marketing, Lead Generation, Angular","Angular, Audit, Brand Strategy, Chartered Accountant, GAAP, Internal Medicine, NLP, Prospecting",Digital Marketing
"Budgeting, Litigation, Lead Generation, ASP.NET Core, Online Marketing, Teamwork","Leadership, Litigation, Performance Marketing, Presentation Skills, Prospecting, Teamwork, ASP.NET","Budgeting, ASP.NET Core"
"Adaptability, Mediation, Litigation, IFRS, SEO, Linux, Training and Development, Talent Acquisition","Account Executive, Adaptability, C#, Communication, Creativity, IFRS, Linux, Litigation, Mediation, SEM, Talent Acquisition, Training and Development",
"Strategic Planning, Lead Generation, Accounting, AWS, CRM, Physician","AWS, CRM, Certified Public Accountant, Corporate Finance, Lead Generation, Physician, Strategic Planning",
"PyTorch, Machine Learning, CA, NLP, Stakeholder Management, Product Management, Python, Valuation, Recruitment, JavaScript","Creativity, ETL, Employee Engagement, Git, Machine Learning, Negotiation, Product Management, PyTorch, Python, Recruitment, Stakeholder Management, Valuation","CA, NLP, JavaScript"
"Arbitration, Online Marketing, Stakeholder Management, Power BI, Corporate Finance, Litigation, CA, Medical Practitioner, Logistics, Surgery","Angular, Arbitration, CA, Corporate Finance, Doctor, Litigation, Logistics, Marketing Analytics, Online Marketing, Power BI, Scrum, Stakeholder Management, Surgery",
"Human Resources, Online Marketing, Stakeholder Management, CI/CD, Problem Solving, Critical Thinking, Clinical Research, Marketing Analytics",".NET Core, CI/CD, Clinical Research, Critical Thinking, HR, Marketing Analytics, Online Marketing, Problem Solving, Stakeholder Management",
"Derivatives, Containerization, Email Marketing, TensorFlow, Hadoop, Strategic Planning, Patient Examination, Linux, Arbitration","Arbitration, Containerization, Derivatives, Linux, Patient Examination, Spring Boot, TensorFlow","Email Marketing, Hadoop, Strategic Planning"
"Computer Vision, Criminal Law, Human Resources, HR, Online Marketing, Litigation, .NET Core","Computer Vision, Corporate Finance, Criminal Law, Deep Learning, Digital Marketing, Human Resources, Litigation, Logistics, PyTorch, Social Media Marketing",.NET Core
"Time Management, Stakeholder Management, .NET Core, Budgeting, .NET, Kotlin","Budgeting, Email Marketing, Kotlin, Node.js, Stakeholder Management, Time Management",".NET Core, .NET"
"Google Cloud, Teamwork, Email Marketing, Time Management, Negotiation Skills, NoSQL, Node.js, Compliance, Adaptability","Adaptability, C#, Compliance, Email Marketing, GCP, Negotiation Skills, NoSQL, Node.js, Time Management",Teamwork
"Leadership, Docker, Angular, Strategic Planning, Online Marketing, Employee Engagement, Account Executive, CI/CD, Taxation","Angular, CI/CD, DevOps, Employee Engagement, Sales, Strategic Planning, Taxation","Leadership, Docker, Online Marketing"
"Azure, Containerization, Agile, Machine Learning, Prospecting, Negotiation, Digital Marketing, Accounting","Accounting, Agile, Azure, CRM, Data Warehousing, Jenkins, Kubernetes, Machine Learning, Negotiation, Online Marketing",Prospecting
"Agile, Mediation, Communication, C#.Net, AWS, Vue, MLOps, Team Leadership, SQL","AWS, C#, Communication, Google Cloud, Lead Generation, MLOps, Mediation","Agile, Vue, Team Leadership, SQL"
"Communication, Criminal Law, Machine Learning, Content Marketing, NLP, Data Warehousing, Civil Law, Go","Civil Law, Communication, Corporate Law, Deep Learning, Go","Criminal Law, Content Marketing, NLP, Data Warehousing"
"Radiology, SEO, Power BI, Pediatrics, Taxation, Investment Analysis","Closing Deals, Investment Analysis, Pediatrics, Power BI, Taxation","Radiology, SEO"
"Training and Development, Litigation, Strategic Planning, Risk Management, PHP, Azure, Business Development, Data Warehousing","Azure, Business Development, Criminal Law, PHP, Risk Management, Strategic Planning, Training and Development","Litigation, Data Warehousing"
"Hadoop, Sales, R, Physician, Python, Process Improvement, Strategic Planning, PyTorch, GAAP, Doctor","Business Development, Digital Marketing, Doctor, GAAP, Hadoop, Internal Medicine, Process Improvement, PyTorch, Python, R, Strategic Planning",
"Data Analysis, Teamwork, Financial Analysis, Corporate Law, Change Management, Python, Closing Deals, Digital Marketing, Doctor","Audit, Change Management, Closing Deals, Corporate Law, Data Analysis, FastAPI, Financial Analysis, Medical Practitioner, Python, Team Leadership, Teamwork",Digital Marketing
"Corporate Finance, SEM, PyTorch, DevOps, Go, R, Marketing Analytics","Azure, Deep Learning, Go, Java, Marketing Analytics, Prospecting, PyTorch, R, SEO","Corporate Finance, DevOps"
"SEO, Data Warehousing, Logistics, Orthopedics, Kotlin, Scrum, Email Marketing, GCP, Internal Medicine","Adaptability, Clinical Research, Compensation and Benefits, Computer Vision, Data Warehousing, Email Marketing, Kotlin, Logistics, Orthopedics, SEO, Scrum","GCP, Internal Medicine"
"Business Development, Email Marketing, B2B Sales, Process Improvement, Human Resources, Brand Strategy, Medical Practitioner, Vue, Closing Deals","Brand Strategy, Business Development, Closing Deals, Critical Thinking, Diagnosis, Email Marketing, Human Resources, Medical Practitioner, Performance Management, Process Improvement, Vue",B2B Sales
"Tableau, Compliance, Attorney, Adaptability, TypeScript, Critical Thinking","Adaptability, Agile, Attorney, Communication, Compensation and Benefits, Compliance, Google Ads, Tableau","TypeScript, Critical Thinking"
"Prospecting, Physician, Human Resources, PHP, Attorney, Derivatives, Corporate Law","Corporate Law, Derivatives, Internal Medicine, Lead Generation, PHP","Physician, Human Resources, Attorney"
"Orthopedics, ETL, Kotlin, Business Development, Lawyer, Equity Research, Online Marketing",".NET, Business Development, Chartered Accountant, ETL, Equity Research, JavaScript, Orthopedics, Teamwork","Kotlin, Lawyer, Online Marketing"
"React, NoSQL, PHP, Email Marketing, Power BI, TypeScript, Machine Learning","CI/CD, Derivatives, ETL, GCP, Machine Learning, NoSQL, PHP, Power BI, React, Ruby, TypeScript",Email Marketing
"Critical Thinking, Certified Public Accountant, Contract Drafting, PyTorch, Vue, Presentation Skills, Marketing Analytics, Kubernetes","Certified Public Accountant, Containerization, Contract Drafting, Critical Thinking, Marketing Analytics, Presentation Skills, Program Management, Vue",PyTorch
"C++, Compliance, Recruitment, Containerization, Doctor, IFRS, Pediatrics, Machine Learning","B2C Sales, C++, Compliance, Containerization, IFRS, Key Account Management, Machine Learning, Pediatrics, Portfolio Management, Sales, Spring Boot","Recruitment, Doctor"
"Marketing Analytics, Orthopedics, Teamwork, Lawyer, Derivatives, PHP, Talent Acquisition, Equity Research, ETL","Derivatives, Doctor, ETL, Equity Research, Lawyer, Marketing Analytics, Orthopedics, Process Improvement, Talent Acquisition, Teamwork",PHP
"Brand Strategy, Clinical Research, Recruitment, Patient Examination, JavaScript, Spring Boot, CRM, SEO, Corporate Law, Marketing Analytics","Accounting, Brand Strategy, CRM, Clinical Research, Corporate Law, JavaScript, Marketing Analytics, Patient Examination, Recruitment, SEM, Spring Boot, Terraform",
"Spark, TensorFlow, Performance Marketing, HR, B2B Sales, Creativity, Project Management, Negotiation Skills, Negotiation, Docker","B2B Sales, C++, Containerization, Creativity, HR, Investment Analysis, Negotiation, Negotiation Skills, Performance Management, Performance Marketing, Project Management, TensorFlow",Spark
"Medical Practitioner, Accounting, Spark, Swift, Market Research, Medical Ethics, Azure, ASP.NET, Litigation","ASP.NET, Brand Strategy, Certified Public Accountant, Civil Law, Communication, HR, Litigation, Market Research, Medical Ethics, Medical Practitioner, Recruitment, Spark, Swift",Azure
"Creativity, Mediation, Investment Analysis, Teamwork, .NET Core, Docker, Digital Marketing, Online Marketing",".NET Core, Creativity, Docker, Financial Analysis, Investment Analysis, Mediation, Online Marketing, Salesforce, Teamwork",
