id,role_title,company,role_type,seniority_level,years_required,jd_text,skills_required
jd_0000,Analytics Engineer - Google,Google,data,Staff,6,"Job Title: Analytics Engineer - Google
        
        Company: Google
        
        Description:
        Analyze data with Spark, Tableau, Python. Build dashboards and reports. 10-20 data team.
        
        Requirements:
        - 6+ years data development
- SQL mastery
- Tableau/Power BI
- Statistical analysis
        
Seniority Level: Staff
Years Required: 6+
        
        Benefits: Competitive salary, health insurance, remote work, professional development",Statistics; Hadoop; Excel; ETL; Pandas
jd_0001,ML/AI Engineer - Shopify,Shopify,ml,Mid,8,"Job Title: ML/AI Engineer - Shopify
        
        Company: Shopify
        
        Description:
        Build ML models and AI systems. Work with TensorFlow, Scikit-learn, SQL stack. 20+ ML/AI team.
        
        Requirements:
        - 8+ years ml development
- Python + TensorFlow
- Statistics knowledge
- Deep learning experience
        
Seniority Level: Mid
Years Required: 8+
        
        Benefits: Competitive salary, health insurance, remote work, professional development",NumPy; Deep Learning; Pandas; NLP; Python
jd_0002,Analytics Engineer - GitHub,GitHub,data,Senior,2,"Job Title: Analytics Engineer - GitHub
        
        Company: GitHub
        
        Description:
        Analyze data with Pandas, SQL, Hadoop. Build dashboards and reports. 20+ data team.
        
        Requirements:
        - 2+ years data development
- SQL mastery
- Tableau/Power BI
- Statistical analysis
        
Seniority Level: Senior
Years Required: 2+
        
        Benefits: Competitive salary, health insurance, remote work, professional development",Data Warehousing; Excel; Power BI; Statistics; Hadoop
jd_0003,Analytics Engineer - Uber,Uber,data,Senior,4,"Job Title: Analytics Engineer - Uber
        
        Company: Uber
        
        Description:
        Analyze data with Python, Pandas, SQL. Build dashboards and reports. 10-20 data team.
        
        Requirements:
        - 4+ years data development
- SQL mastery
- Tableau/Power BI
- Statistical analysis
        
Seniority Level: Senior
Years Required: 4+
        
        Benefits: Competitive salary, health insurance, remote work, professional development",Data Warehousing; SQL; Hadoop; Statistics; Tableau
jd_0004,Backend Software Engineer - Shopify,Shopify,backend,Senior,8,"Job Title: Backend Software Engineer - Shopify
        
        Company: Shopify
        
        Description:
        Design and build scalable backend systems. Work with C#, Node.js, API Design technologies. 10-20 engineer team.
        
        Requirements:
        - 8+ years backend development
- Proficiency in {language}
- Experience with microservices
- Strong database knowledge
        
Seniority Level: Senior
Years Required: 8+
        
        Benefits: Competitive salary, health insurance, remote work, professional development",API Design; Kubernetes; Go; Node.js; AWS
jd_0005,ML/AI Engineer - Shopify,Shopify,ml,Senior,3,"Job Title: ML/AI Engineer - Shopify
        
        Company: Shopify
        
        Description:
        Build ML models and AI systems. Work with TensorFlow, PyTorch, Scikit-learn stack. 20+ ML/AI team.
        
        Requirements:
        - 3+ years ml development
- Python + TensorFlow
- Statistics knowledge
- Deep learning experience
        
Seniority Level: Senior
Years Required: 3+
        
        Benefits: Competitive salary, health insurance, remote work, professional development",Computer Vision; NLP; SQL; Statistics; NumPy
jd_0006,Senior Backend Engineer - GitHub,GitHub,backend,Junior,6,"Job Title: Senior Backend Engineer - GitHub
        
        Company: GitHub
        
        Description:
        Design and build scalable backend systems. Work with MongoDB, Rust, AWS technologies. 20+ engineer team.
        
        Requirements:
        - 6+ years backend development
- Proficiency in {language}
- Experience with microservices
- Strong database knowledge
        
Seniority Level: Junior
Years Required: 6+
        
        Benefits: Competitive salary, health insurance, remote work, professional development",AWS; Go; Microservices; PostgreSQL; Rust
jd_0007,Python/Go Backend Developer - Airbnb,Airbnb,backend,Staff,2,"Job Title: Python/Go Backend Developer - Airbnb
        
        Company: Airbnb
        
        Description:
        Design and build scalable backend systems. Work with Microservices, C#, AWS technologies. 5-10 engineer team.
        
        Requirements:
        - 2+ years backend development
- Proficiency in {language}
- Experience with microservices
- Strong database knowledge
        
Seniority Level: Staff
Years Required: 2+
        
        Benefits: Competitive salary, health insurance, remote work, professional development",AWS; MongoDB; Go; PostgreSQL; Java
jd_0008,JavaScript Engineer - Amazon,Amazon,frontend,Junior,6,"Job Title: JavaScript Engineer - Amazon
        
        Company: Amazon
        
        Description:
        Build beautiful user interfaces with Angular, Responsive Design, TypeScript. Work on high-traffic web applications. 20+ engineer team.
        
        Requirements:
        - 6+ years frontend development
- Expert in {framework}
- CSS/HTML proficiency
- Performance optimization
        
Seniority Level: Junior
Years Required: 6+
        
        Benefits: Competitive salary, health insurance, remote work, professional development",Vue.js; JavaScript; Redux; HTML; Material-UI
jd_0009,Senior DevOps Engineer - Microsoft,Microsoft,devops,Staff,3,"Job Title: Senior DevOps Engineer - Microsoft
        
        Company: Microsoft
        
        Description:
        Manage cloud infrastructure with Linux, GitLab, CI/CD. Build CI/CD pipelines. 5-10 infrastructure team.
        
        Requirements:
        - 3+ years devops development
- Kubernetes expertise
- Infrastructure as Code
- AWS/Azure/GCP
        
Seniority Level: Staff
Years Required: 3+
        
        Benefits: Competitive salary, health insurance, remote work, professional development",Infrastructure; Jenkins; Azure; Terraform; Ansible
jd_0010,UI/UX Frontend Developer - Discord,Discord,frontend,Junior,7,"Job Title: UI/UX Frontend Developer - Discord
        
        Company: Discord
        
        Description:
        Build beautiful user interfaces with React, JavaScript, CSS. Work on high-traffic web applications. 5-10 engineer team.
        
        Requirements:
        - 7+ years frontend development
- Expert in {framework}
- CSS/HTML proficiency
- Performance optimization
        
Seniority Level: Junior
Years Required: 7+
        
        Benefits: Competitive salary, health insurance, remote work, professional development",Angular; Redux; Responsive Design; TypeScript; React
jd_0011,Backend Software Engineer - Slack,Slack,backend,Mid,4,"Job Title: Backend Software Engineer - Slack
        
        Company: Slack
        
        Description:
        Design and build scalable backend systems. Work with Java, API Design, C# technologies. 20+ engineer team.
        
        Requirements:
        - 4+ years backend development
- Proficiency in {language}
- Experience with microservices
- Strong database knowledge
        
Seniority Level: Mid
Years Required: 4+
        
        Benefits: Competitive salary, health insurance, remote work, professional development",C#; Kubernetes; Rust; Node.js; Python
jd_0012,Full Stack Developer - Microsoft,Microsoft,fullstack,Mid,10,"Job Title: Full Stack Developer - Microsoft
        
        Company: Microsoft
        
        Description:
        Own features end-to-end with MongoDB, Node.js, React. Build scalable applications. 5-10 engineer team.
        
        Requirements:
        - 10+ years fullstack development
- Full stack expertise
- Database design
- DevOps fundamentals
        
Seniority Level: Mid
Years Required: 10+
        
        Benefits: Competitive salary, health insurance, remote work, professional development",React; TypeScript; Express.js; Git; Agile
jd_0013,JavaScript Engineer - Stripe,Stripe,frontend,Junior,4,"Job Title: JavaScript Engineer - Stripe
        
        Company: Stripe
        
        Description:
        Build beautiful user interfaces with REST APIs, Angular, Material-UI. Work on high-traffic web applications. 10-20 engineer team.
        
        Requirements:
        - 4+ years frontend development
- Expert in {framework}
- CSS/HTML proficiency
- Performance optimization
        
Seniority Level: Junior
Years Required: 4+
        
        Benefits: Competitive salary, health insurance, remote work, professional development",Redux; HTML; REST APIs; Angular; Responsive Design
jd_0014,Senior DevOps Engineer - Airbnb,Airbnb,devops,Junior,10,"Job Title: Senior DevOps Engineer - Airbnb
        
        Company: Airbnb
        
        Description:
        Manage cloud infrastructure with Terraform, Monitoring, Docker. Build CI/CD pipelines. 5-10 infrastructure team.
        
        Requirements:
        - 10+ years devops development
- Kubernetes expertise
- Infrastructure as Code
- AWS/Azure/GCP
        
Seniority Level: Junior
Years Required: 10+
        
        Benefits: Competitive salary, health insurance, remote work, professional development",Terraform; GitLab; Monitoring; Kubernetes; Infrastructure
jd_0015,Senior Data Analyst - Figma,Figma,data,Junior,3,"Job Title: Senior Data Analyst - Figma
        
        Company: Figma
        
        Description:
        Analyze data with Hadoop, Tableau, Python. Build dashboards and reports. 5-10 data team.
        
        Requirements:
        - 3+ years data development
- SQL mastery
- Tableau/Power BI
- Statistical analysis
        
Seniority Level: Junior
Years Required: 3+
        
        Benefits: Competitive salary, health insurance, remote work, professional development",Excel; Hadoop; Pandas; Spark; Statistics
jd_0016,Senior ML Engineer - FintechXYZ,FintechXYZ,ml,Senior,9,"Job Title: Senior ML Engineer - FintechXYZ
        
        Company: FintechXYZ
        
        Description:
        Build ML models and AI systems. Work with Deep Learning, SQL, TensorFlow stack. 20+ ML/AI team.
        
        Requirements:
        - 9+ years ml development
- Python + TensorFlow
- Statistics knowledge
- Deep learning experience
        
Seniority Level: Senior
Years Required: 9+
        
        Benefits: Competitive salary, health insurance, remote work, professional development",TensorFlow; NLP; Statistics; Scikit-learn; SQL
